id,currentLocationX,currentLocationY,floor,capabilities,centerFreq0,centerFreq1,channelWidth,frequency,RSS,roomNumber,MAC,,,,,
6399,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-93,134,6c:f3:7f:84:be:50,,,,,
6400,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-77,134,34:fc:b9:60:d5:80,,,,,
6401,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-74,134,34:fc:b9:60:d5:80,,,,,
6402,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-84,134,44:48:c1:be:4a:20,,,,,
6403,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-82,134,44:48:c1:be:4a:20,,,,,
6404,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-84,134,44:48:c1:be:4a:20,,,,,
6405,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-78,134,44:48:c1:be:1a:e0,,,,,
6406,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-80,134,44:48:c1:be:1a:e0,,,,,
6407,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-80,134,44:48:c1:be:1a:e0,,,,,
6408,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5755,0,1,5745,-91,134,6c:f3:7f:84:be:58,,,,,
6409,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-78,134,34:fc:b9:60:bd:c0,,,,,
6410,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-74,134,34:fc:b9:60:bd:c0,,,,,
6411,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-77,134,34:fc:b9:60:bd:c0,,,,,
6412,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2412,0,0,2412,-93,134,44:48:c1:be:3c:40,,,,,
6413,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-83,134,34:fc:b9:60:db:f0,,,,,
6414,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-81,134,34:fc:b9:60:db:f0,,,,,
6415,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-78,134,34:fc:b9:60:db:f0,,,,,
6416,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-90,134,44:48:c1:be:5b:a0,,,,,
6417,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-91,134,44:48:c1:be:5b:a0,,,,,
6418,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5785,-85,134,44:48:c1:be:37:f0,,,,,
6419,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-92,134,44:48:c1:be:37:e0,,,,,
6420,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-69,134,f0:5c:19:f8:81:80,,,,,
6421,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2437,0,0,2437,-85,134,44:48:c1:be:36:21,,,,,
6422,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5210,0,2,5180,-69,134,34:fc:b9:60:bd:d0,,,,,
6423,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5745,-93,134,70:3a:0e:d3:2c:10,,,,,
6424,200.3272705,381.2842712,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2462,0,0,2462,-89,134,44:48:c1:be:19:41,,,,,
6425,247.4707184,498.5584717,0,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],5775,0,2,5785,-90,134,44:48:c1:be:37:f0,,,,,
